,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
530,mammalia_voles_bhp_trapping_55,3.75,5.214285714,0.121732026,0.363545418,76,2,0.020529804,6.636773379,0.150675628,51,25,0.673197279,0.082352941,6.636773379,0.588785047,12
531,mammalia_voles_bhp_trapping_56,3.515151515,3.83908046,0.146290491,0.403884265,67,13,0.084866026,6.78565937,0.147369614,29,4,0.514794599,0.145320197,6.78565937,0.647727273,9
532,mammalia_voles_bhp_trapping_57,2.9375,6.469135802,0.163194444,0.381344307,84,19,0.109643563,4.271288871,0.234121369,18,4,0.501666667,0.196078431,4.271288871,0.566666667,7
533,mammalia_voles_bhp_trapping_58,2.794117647,5.154639175,0.091503268,0.303837342,66,3,0.124617167,3.782180808,0.264397725,36,8,0.641274238,0.09047619,3.782180808,0.37254902,8
534,mammalia_voles_bhp_trapping_59,2.4375,4.268041237,0.102393617,0.305988155,68,3,0.027293886,5.135104355,0.194738009,47,30,0.667578125,0.07400555,5.135104355,0.464788732,10
535,mammalia_voles_bhp_trapping_60,2.846153846,6.063157895,0.118401207,0.323839009,74,5,0.021782419,4.751449401,0.210462096,51,23,0.719835069,0.075294118,4.751449401,0.553846154,17
536,mammalia_voles_bhp_trapping_61,2.962962963,6.474358974,0.177777778,0.374358974,73,22,0.107102595,4.054229499,0.246655992,20,2,0.536940687,0.163157895,4.054229499,0.505617978,8
537,mammalia_voles_bhp_trapping_62,3,11.69565217,0.222222222,0.492753623,95,54,0.301881213,2.767182813,0.361378365,9,7,0.305,0.277777778,2.767182813,0.333333333,5
538,mammalia_voles_bhp_trapping_63,3.333333333,9.625,0.433333333,0.616666667,94,76,0.381966011,1.732050808,0.577350269,5,1,0.21875,0.4,1.732050808,0,4
539,mammalia_voles_bhp_trapping_64,2.72,7,0.121481481,0.292280232,75,17,0.039225303,3.519908395,0.284098303,27,4,0.627100073,0.105413105,3.519908395,0.392857143,12
